ticker,date,open,high,low,close,volume,vwap,transactions
WLGS,2025-02-05,7.51,7.68,7.21,7.6,66662.0,7.4407,449
WLGS,2025-02-06,7.6,8.452,7.04,8.08,344842.0,7.5186,1582
WLGS,2025-02-07,8.05,8.93,8.0,8.5,406274.0,8.153,1648
WLGS,2025-02-10,8.5,9.66,7.4001,8.6,1057747.0,8.4797,4073
WLGS,2025-02-11,8.5,8.8472,8.225,8.64,868818.0,8.4291,2556
WLGS,2025-02-12,8.33,8.56,8.33,8.41,451081.0,8.4097,2392
WLGS,2025-02-13,8.4,8.66,8.38,8.45,309134.0,8.47,1365
WLGS,2025-02-14,8.5,9.09,3.59,6.65,2147564.0,7.4448,9637
WLGS,2025-02-18,6.7,6.948,5.21,5.92,1028778.0,5.7376,3850
WLGS,2025-02-19,5.7,6.17,5.5,5.5,268191.0,5.621,1255
WLGS,2025-02-20,5.48,5.95,5.1,5.52,289173.0,5.6563,1496
WLGS,2025-02-21,5.52,5.62,4.5754,4.91,1586241.0,5.1518,3498
WLGS,2025-02-24,5.4,6.0881,5.3,6.0,714518.0,5.7402,2602
WLGS,2025-02-25,6.57,6.6,5.1301,6.01,1564923.0,7.0498,14109
WLGS,2025-02-26,5.91,6.2394,5.0,5.34,1015879.0,5.6735,2775
WLGS,2025-02-27,5.1,5.8001,4.96,5.7,1323193.0,5.2668,3603
WLGS,2025-02-28,5.15,6.13,4.4,6.01,647299.0,5.2438,2574
WLGS,2025-03-03,5.83,5.985,5.01,5.3,430271.0,5.5323,1478
WLGS,2025-03-04,5.4,5.7584,4.5,5.01,655555.0,5.0191,2385
WLGS,2025-03-05,4.98,5.63,4.03,4.91,1071866.0,4.9265,3575
WLGS,2025-03-06,5.02,5.02,3.4366,3.67,1022413.0,4.0846,5975
